ENGLISH,DEUTCH,ITALIANO,Emotional
aesthetic,ästhetisch,estetico,
amusing,amüsant ,divertente,x
beautiful,schön ,bello,x
boring,langweilig,noioso,
brief,knapp ,conciso,
charming,lieblich,affascinante,x
comical,komisch ,comico,
creative,kreativ ,creativo,
creepy,gruselig,raccapricciante,
deeply moving,ergreifend,commovente,x
diverse,abwechslungh ,vario,
diverting,kurzweilig,svago,x
dramatic,dramatisch,rammatico,
emotional,emotional ,emozionante,x
entertaining,unterhaltend,divertente,x
entertaining,unterhaltsam,divertente,
euphonious,wohlklingend,eufonico,
exciting,aufregend ,eccitante,x
fantastic ,phantastisch ,fantastico,
fluent,fließend,scorrevole,
funny,lustig,spassoso,x
harmonious,harmonisch,armonioso,
humorous,humorvoll ,umoristico,
imaginative,phantasievoll ,fantasioso,
instructive,lehrreich ,istruttivo,
interesting,interessant ,interessante,
ironic,ironisch,ironico,
long,lang,lungo,
long-winded,langatmig ,prolisso,
melancholic,melancholisch ,melanconico,
melodic,melodisch ,melodico,
melodious,klangvoll ,melodioso,
metaphorical,metaphorisch,metaforico,
moving,bewegend,toccante,x
open,offen ,aperto,
passionate,leidenschaftlich,appassionato,
poetic,poetisch,poetico,
pointed,pointiert ,conciso,
profound,tiefgründig ,profondo,
realistic,realistisch ,realistico,
rhyming,reimend ,rimato,
rhythmic,rhythmisch,ritmico,
riveting,fesselnd,avvincente,x
romantic,romantisch,romantico,
sad,traurig ,triste,
sarcastic,sarkastisch ,sarcastico,
satirical,satirisch ,satirico,
sentimental,gefühlvoll,sentimentale,
short,kurz,breve,
stimulating,anregend,stimolante,x
succinct,prägnant,succinto,
surprising,überrascnd,sorprendente,
suspenseful,spannend,suspense,x
thrilling,mitreißend,entusiasmante,x
touching,berührend ,toccante,x
tragic,tragisch,tragico,
witty,witzig,spiritoso,
